#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Lavandula angustifolia,Eukaryota;Plants;Land Plants,,SAMN21435191,PRJNA762277,GCA_028984105.1, Chromosome,795.076,38.8585,chromosome 1:CM054802.1; chromosome 2:CM054803.1; chromosome 3:CM054804.1; chromosome 4:CM054805.1; chromosome 5:CM054806.1; chromosome 6:CM054807.1; chromosome 7:CM054808.1; chromosome 8:CM054809.1; chromosome 9:CM054810.1; chromosome 10:CM054811.1; chromosome 11:CM054812.1; chromosome 12:CM054813.1; chromosome 13:CM054814.1; chromosome 14:CM054815.1; chromosome 15:CM054816.1; chromosome 16:CM054817.1; chromosome 17:CM054818.1; chromosome 18:CM054819.1; chromosome 19:CM054820.1; chromosome 20:CM054821.1; chromosome 21:CM054822.1; chromosome 22:CM054823.1; chromosome 23:CM054824.1; chromosome 24:CM054825.1; chromosome 25:CM054826.1,JAPVEC01,306,0,2023-03-03T00:00:00Z,,
Stegostoma fasciatum,Eukaryota;Animals;Fishes,17-Jun,SAMN18022887,PRJNA844100,GCA_022316705.1, Chromosome,2771.87,42.2956,chromosome 1:CM039227.1; chromosome 2:NC_063385.1/CM039228.1; chromosome 3:NC_063386.1/CM039229.1; chromosome 4:NC_063387.1/CM039230.1; chromosome 5:NC_063388.1/CM039231.1; chromosome 6:NC_063389.1/CM039232.1; chromosome 7:NC_063390.1/CM039233.1; chromosome 8:NC_063391.1/CM039234.1; chromosome 9:NC_063392.1/CM039235.1; chromosome 10:NC_063393.1/CM039236.1; chromosome 11:NC_063394.1/CM039237.1; chromosome 12:NC_063395.1/CM039238.1; chromosome 13:NC_063396.1/CM039239.1; chromosome 14:NC_063397.1/CM039240.1; chromosome 15:NC_063398.1/CM039241.1; chromosome 16:NC_063399.1/CM039242.1; chromosome 17:NC_063400.1/CM039243.1; chromosome 18:NC_063401.1/CM039244.1; chromosome 19:NC_063402.1/CM039245.1; chromosome 20:NC_063403.1/CM039246.1; chromosome 21:NC_063404.1/CM039247.1; chromosome 22:NC_063405.1/CM039248.1; chromosome 23:NC_063406.1/CM039249.1; chromosome 24:NC_063407.1/CM039250.1; chromosome 25:NC_063408.1/CM039251.1; chromosome 26:NC_063409.1/CM039252.1; chromosome 27:NC_063410.1/CM039253.1; chromosome 28:NC_063411.1/CM039254.1; chromosome 29:NC_063412.1/CM039255.1; chromosome 30:NC_063413.1/CM039256.1; chromosome 31:NC_063414.1/CM039257.1; chromosome 32:NC_063415.1/CM039258.1; chromosome 33:NC_063416.1/CM039259.1; chromosome 34:NC_063417.1/CM039260.1; chromosome 35:NC_063418.1/CM039261.1; chromosome 36:NC_063419.1/CM039262.1; chromosome 37:NC_063420.1/CM039263.1; chromosome 38:NC_063421.1/CM039264.1; chromosome 39:NC_063422.1/CM039265.1; chromosome 40:NC_063423.1/CM039266.1; chromosome 41:NC_063424.1/CM039267.1; chromosome 42:NC_063425.1/CM039268.1; chromosome 43:NC_063426.1/CM039269.1; chromosome 44:NC_063427.1/CM039270.1; chromosome 45:NC_063428.1/CM039271.1; chromosome 46:NC_063429.1/CM039272.1; chromosome 47:NC_063430.1/CM039273.1; chromosome 48:NC_063431.1/CM039274.1; chromosome 49:NC_063432.1/CM039275.1; chromosome 50:NC_063433.1/CM039276.1,JAFIRC01,1266,41826,2022-02-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/316/705/GCA_022316705.1_sSteFas1.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/316/705/GCF_022316705.1_sSteFas1.1
Paguma larvata,Eukaryota;Animals;Mammals,MPC1,SAMN20856571,PRJNA756156,GCA_030068075.1, Chromosome,2437.41,42.471,chromosome 1:CM057823.1; chromosome 2:CM057824.1; chromosome 3:CM057825.1; chromosome 4:CM057826.1; chromosome 5:CM057827.1; chromosome 6:CM057828.1; chromosome 7:CM057829.1; chromosome 8:CM057830.1; chromosome 9:CM057831.1; chromosome 10:CM057832.1; chromosome 11:CM057833.1; chromosome 12:CM057834.1; chromosome 13:CM057835.1; chromosome 14:CM057836.1; chromosome 15:CM057837.1; chromosome 16:CM057838.1; chromosome 17:CM057839.1; chromosome 18:CM057840.1; chromosome 19:CM057841.1; chromosome 20:CM057842.1; chromosome 21:CM057843.1; chromosome 22:CM057844.1,JAINVK01,1500,0,2023-05-24T00:00:00Z,,
Falco rusticolus,Eukaryota;Animals;Birds,bFalRus1,SAMN12629496,PRJNA675116,GCA_015220075.1, Chromosome,1195.85,42.2349,chromosome 1:NC_051187.1/CM026666.1; chromosome 2:NC_051188.1/CM026667.1; chromosome 3:NC_051189.1/CM026668.1; chromosome 4:NC_051190.1/CM026669.1; chromosome 5:NC_051191.1/CM026670.1; chromosome 6:NC_051192.1/CM026671.1; chromosome 7:NC_051193.1/CM026672.1; chromosome 8:NC_051194.1/CM026673.1; chromosome 9:NC_051195.1/CM026674.1; chromosome 10:NC_051196.1/CM026675.1; chromosome 11:NC_051197.1/CM026676.1; chromosome 12:NC_051198.1/CM026677.1; chromosome 13:NC_051199.1/CM026678.1; chromosome 14:NC_051200.1/CM026679.1; chromosome 15:NC_051201.1/CM026680.1; chromosome 16:NC_051202.1/CM026681.1; chromosome 17:NC_051203.1/CM026682.1; chromosome 18:NC_051204.1/CM026683.1; chromosome 19:NC_051205.1/CM026684.1; chromosome 20:NC_051206.1/CM026685.1; chromosome 21:NC_051207.1/CM026686.1; chromosome 22:NC_051208.1/CM026687.1; chromosome W:NC_051209.1/CM026688.1; chromosome Z:NC_051210.1/CM026689.1; mitochondrion MT:NC_029359.1/CM026719.1,JADCQO01,133,41389,2020-11-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/220/075/GCA_015220075.1_bFalRus1.pri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri
Akebia trifoliata,Eukaryota;Plants;Land Plants,Shusen 1,SAMN16551930,PRJNA671772,GCA_017979445.1, Chromosome,652.797,35.0007,chromosome 1:CM030704.1; chromosome 2:CM030705.1; chromosome 3:CM030706.1; chromosome 4:CM030707.1; chromosome 5:CM030708.1; chromosome 6:CM030709.1; chromosome 7:CM030710.1; chromosome 8:CM030711.1; chromosome 9:CM030712.1; chromosome 10:CM030713.1; chromosome 11:CM030714.1; chromosome 12:CM030715.1; chromosome 13:CM030716.1; chromosome 14:CM030717.1; chromosome 15:CM030718.1; chromosome 16:CM030719.1,JADQWC01,913,0,2021-04-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/979/445/GCA_017979445.1_ASM1797944v1,
Lateolabrax maculatus,Eukaryota;Animals;Fishes,,SAMN07680090,PRJNA408177,GCA_004023545.1, Chromosome,519.239,41.0772,chromosome Lm1:CP027262.1; chromosome Lm2:CP027263.1; chromosome Lm3:CP027264.1; chromosome Lm4:CP027265.1; chromosome Lm5:CP027266.1; chromosome Lm6:CP027267.1; chromosome Lm7:CP027268.1; chromosome Lm8:CP027269.1; chromosome Lm9:CP027270.1; chromosome Lm10:CP027271.1; chromosome Lm11:CP027272.1; chromosome Lm12:CP027273.1; chromosome Lm13:CP027274.1; chromosome Lm14:CP027275.1; chromosome Lm15:CP027276.1; chromosome Lm16:CP027277.1; chromosome Lm17:CP027278.1; chromosome Lm18:CP027279.1; chromosome Lm19:CP027280.1; chromosome Lm20:CP027281.1; chromosome Lm21:CP027282.1; chromosome Lm22:CP027283.1; chromosome Lm23:CP027284.1; chromosome Lm24:CP027285.1,,24,0,2019-01-15T00:00:00Z,,
Gynostemma pentaphyllum,Eukaryota;Plants;Land Plants,JGL_L1,SAMN26280361,PRJNA810200,GCA_028015215.1, Chromosome,608.987,32.956,chromosome 1:CM051345.1; chromosome 2:CM051346.1; chromosome 3:CM051347.1; chromosome 4:CM051348.1; chromosome 5:CM051349.1; chromosome 6:CM051350.1; chromosome 7:CM051351.1; chromosome 8:CM051352.1; chromosome 9:CM051353.1; chromosome 10:CM051354.1; chromosome 11:CM051355.1,JAPAFB01,18,0,2023-01-26T00:00:00Z,,
Lotharella oceanica,Eukaryota;Protists;Other Protists,CCMP622,SAMN02228105,PRJNA260937,GCA_000698435.2, Chromosome,0.683589,32.79,chromosome 1:CP006627.1; chromosome 2:CP006628.1; chromosome 3:CP006629.1; plastid Pltd:KF438023.1,,4,668,2014-06-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/435/GCA_000698435.2_ASM69843v2,
Galaxea fascicularis,Eukaryota;Animals;Other Animals,,SAMEA8576633,PRJEB59183,GCA_948470475.1, Chromosome,416.867,39.8262,chromosome 1:OX419335.1; chromosome 2:OX419336.1; chromosome 3:OX419337.1; chromosome 4:OX419338.1; chromosome 5:OX419339.1; chromosome 6:OX419340.1; chromosome 7:OX419341.1; chromosome 8:OX419342.1; chromosome 9:OX419343.1; chromosome 10:OX419344.1; chromosome 11:OX419345.1; chromosome 12:OX419346.1; chromosome 13:OX419347.1; mitochondrion MT:OX419348.1,CAOKRL01,178,0,2023-01-29T00:00:00Z,,
Plotosus lineatus,Eukaryota;Animals;Fishes,Qinzhou-beibuwan-002,SAMN27514949,PRJNA720277,GCA_024760905.1, Chromosome,1333.86,41.5678,chromosome 1:CM045728.1; chromosome 2:CM045729.1; chromosome 3:CM045730.1; chromosome 4:CM045731.1; chromosome 5:CM045732.1; chromosome 6:CM045733.1; chromosome 7:CM045734.1; chromosome 8:CM045735.1; chromosome 9:CM045736.1; chromosome 10:CM045737.1; chromosome 11:CM045738.1; chromosome 12:CM045739.1; chromosome 13:CM045740.1; chromosome 14:CM045741.1; chromosome 15:CM045742.1; chromosome 16:CM045743.1; chromosome 17:CM045744.1; chromosome 18:CM045745.1; chromosome 19:CM045746.1; chromosome 20:CM045747.1; chromosome 21:CM045748.1; chromosome 22:CM045749.1; chromosome 23:CM045750.1; chromosome 24:CM045751.1,JALRMN01,30,0,2022-08-29T00:00:00Z,,
Panicum miliaceum,Eukaryota;Plants;Land Plants,,SAMN08335224,PRJNA429322,GCA_002895445.3, Chromosome,846.02,46.826,chromosome 1:CM010235.2; chromosome 2:CM010236.2; chromosome 3:CM010237.2; chromosome 4:CM010238.2; chromosome 5:CM010239.2; chromosome 6:CM010240.2; chromosome 7:CM010241.2; chromosome 8:CM010242.2; chromosome 9:CM010243.2; chromosome 10:CM010244.2; chromosome 11:CM010245.2; chromosome 12:CM010246.2; chromosome 13:CM010247.2; chromosome 14:CM010248.2; chromosome 15:CM010249.2; chromosome 16:CM010250.2; chromosome 17:CM010251.2; chromosome 18:CM010252.2,PPDP03,444,0,2018-01-23T00:00:00Z,,
Onychomys leucogaster,Eukaryota;Animals;Mammals,,SAMEA112839417,PRJEB60916,GCA_949786385.1, Chromosome,3152.99,41.9038,chromosome 1:OX460418.1; chromosome 2:OX460419.1; chromosome 3:OX460420.1; chromosome 4:OX460421.1; chromosome 5:OX460422.1; chromosome 6:OX460423.1; chromosome 7:OX460424.1; chromosome 8:OX460425.1; chromosome 9:OX460426.1; chromosome 10:OX460427.1; chromosome 11:OX460428.1; chromosome 12:OX460429.1; chromosome 13:OX460430.1; chromosome 14:OX460431.1; chromosome 15:OX460432.1; chromosome 16:OX460433.1; chromosome 17:OX460434.1; chromosome 18:OX460435.1; chromosome 19:OX460436.1; chromosome 20:OX460437.1; chromosome 21:OX460438.1; chromosome 22:OX460439.1; chromosome 23:OX460440.1; chromosome X:OX460441.1,CATKUP01,1053,0,2023-04-04T00:00:00Z,,
[Candida] intermedia,Eukaryota;Fungi;Ascomycetes,CBS 141442,SAMEA4029010,PRJEB14359,GCA_900106115.1, Chromosome,13.1621,43.5298,chromosome I:LT635756.1; chromosome II:LT635757.1; chromosome III:LT635758.1; chromosome IV:LT635759.1; chromosome V:LT635760.1; chromosome VI:LT635761.1; chromosome VII:LT635762.1; mitochondrion M:LT635763.1,,8,5931,2016-11-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/115/GCA_900106115.1_CBS_141442_assembly,
Hypsizygus marmoreus,Eukaryota;Fungi;Basidiomycetes,HM62,SAMN15164502,PRJNA638014,GCA_013433165.1, Chromosome,43.6853,49.5778,chromosome 1:CM024084.1; chromosome 2:CM024085.1; chromosome 3:CM024086.1; chromosome 4:CM024087.1; chromosome 5:CM024088.1; chromosome 6:CM024089.1; chromosome 7:CM024090.1; chromosome 8:CM024091.1; chromosome 9:CM024092.1; chromosome 10:CM024093.1; chromosome 11:CM024094.1; chromosome 12:CM024095.1,JABWDO01,46,0,2020-07-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/433/165/GCA_013433165.1_ASM1343316v1,
Falco naumanni,Eukaryota;Animals;Birds,bFalNau1,SAMN16870685,PRJNA719130,GCA_017639655.1, Chromosome,1215.72,42.3193,chromosome 1:NC_054054.1/CM030145.1; chromosome 2:NC_054055.1/CM030146.1; chromosome 3:NC_054056.1/CM030147.1; chromosome 4:NC_054057.1/CM030148.1; chromosome 5:NC_054058.1/CM030149.1; chromosome 6:NC_054059.1/CM030150.1; chromosome 7:NC_054060.1/CM030151.1; chromosome 8:NC_054061.1/CM030152.1; chromosome 9:NC_054062.1/CM030153.1; chromosome 10:NC_054063.1/CM030154.1; chromosome 11:NC_054064.1/CM030155.1; chromosome 12:NC_054065.1/CM030156.1; chromosome 13:NC_054066.1/CM030157.1; chromosome 14:NC_054067.1/CM030158.1; chromosome 15:NC_054068.1/CM030159.1; chromosome 16:NC_054069.1/CM030160.1; chromosome 17:NC_054070.1/CM030161.1; chromosome 18:NC_054071.1/CM030162.1; chromosome 19:NC_054072.1/CM030163.1; chromosome 20:NC_054073.1/CM030164.1; chromosome 21:NC_054074.1/CM030165.1; chromosome 22:NC_054075.1/CM030166.1; chromosome 23:NC_054076.1/CM030167.1; chromosome 24:NC_054077.1/CM030168.1; chromosome 25:NC_054078.1/CM030169.1; chromosome W:NC_054079.1/CM030170.1; chromosome Z:NC_054080.1/CM030171.1; mitochondrion MT:NC_054728.1/CM030192.1,JAGFVS01,291,41132,2021-03-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/639/655/GCA_017639655.1_bFalNau1.pat,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/655/GCF_017639655.2_bFalNau1.pat
Drechmeria coniospora,Eukaryota;Fungi;Ascomycetes,ARSEF 6962,SAMN03387934,PRJNA721991,GCA_001625195.1, Chromosome,32.831,54.9069,chromosome 01:NC_054389.1/CM004174.1; chromosome 02:NC_054390.1/CM004175.1; chromosome 03:NC_054391.1/CM004176.1,LAYC01,28,8236,2016-03-23T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/625/195/GCF_001625195.1_ASM162519v1
Quercus lobata,Eukaryota;Plants;Land Plants,SW786,SAMN10584531,PRJNA574457,GCA_001633185.5, Chromosome,845.947,35.4253,chromosome 1:NC_044904.1/CM012293.1; chromosome 2:NC_044905.1/CM012294.1; chromosome 3:NC_044906.1/CM012295.1; chromosome 4:NC_044907.1/CM012296.1; chromosome 5:NC_044908.1/CM012297.1; chromosome 6:NC_044909.1/CM012298.1; chromosome 7:NC_044910.1/CM012299.1; chromosome 8:NC_044911.1/CM012300.1; chromosome 9:NC_044912.1/CM012301.1; chromosome 10:NC_044913.1/CM012302.1; chromosome 11:NC_044914.1/CM012303.1; chromosome 12:NC_044915.1/CM012304.1; chloroplast Pltd:CM012305.2,LRBV02,2002,53226,2016-04-28T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/185/GCF_001633185.2_ValleyOak3.2
Bactericera cockerelli,Eukaryota;Animals;Insects,isoF-IL-20210217,SAMN27256069,PRJNA822651,GCA_024516035.1, Chromosome,567.428,36.4454,chromosome 1:CM044955.1; chromosome 2:CM044956.1; chromosome 3:CM044957.1; chromosome 4:CM044958.1; chromosome 5:CM044959.1; chromosome 6:CM044960.1; chromosome 7:CM044961.1; chromosome 8:CM044962.1; chromosome 9:CM044963.1; chromosome 10:CM044964.1; chromosome 11:CM044965.1; chromosome 12:CM044966.1; chromosome X:CM044967.1,JAMCCL01,1409,0,2022-08-03T00:00:00Z,,
Urochloa ruziziensis,Eukaryota;Plants;Land Plants,Clone 69,SAMN12822947,PRJNA573730,GCA_015476505.1, Chromosome,604.562,46.5844,chromosome 1:CM027118.1; chromosome 2:CM027119.1; chromosome 3:CM027120.1; chromosome 4:CM027121.1; chromosome 5:CM027122.1; chromosome 6:CM027123.1; chromosome 7:CM027124.1; chromosome 8:CM027125.1; chromosome 9:CM027126.1,WEIB01,1146,0,2020-11-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/476/505/GCA_015476505.1_Embrapa_Uruz_1.0,
Mentha longifolia,Eukaryota;Plants;Land Plants,CMEN585,SAMN04452879,PRJNA310613,GCA_001642375.2, Chromosome,468.947,36.8609,chromosome 1:CM038110.1; chromosome 2:CM038111.1; chromosome 3:CM038112.1; chromosome 4:CM038113.1; chromosome 5:CM038114.1; chromosome 6:CM038115.1; chromosome 7:CM038116.1; chromosome 8:CM038117.1; chromosome 9:CM038118.1; chromosome 10:CM038119.1; chromosome 11:CM038120.1; chromosome 12:CM038121.1,LSBG02,307,0,2016-05-11T00:00:00Z,,
Caenorhabditis nigoni,Eukaryota;Animals;Roundworms,JU1421,SAMN32595025,PRJNA917437,GCA_027920645.1, Chromosome,128.509,37.7002,chromosome I:CP115864.1; chromosome II:CP115865.1; chromosome III:CP115866.1; chromosome IV:CP115867.1; chromosome V:CP115868.1; chromosome X:CP115869.1,,6,0,2023-01-19T00:00:00Z,,
Penicillium polonicum,Eukaryota;Fungi;Ascomycetes,F7,SAMN12726398,PRJNA560740,GCA_013466175.1, Chromosome,32.7511,47.3758,chromosome I:CM024080.1; chromosome II:CM024081.1; chromosome III:CM024082.1; chromosome IV:CM024083.1,WBOJ01,12,0,2020-07-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/466/175/GCA_013466175.1_ASM1346617v1,
Senna tora,Eukaryota;Plants;Land Plants,,SAMN14013601,PRJNA605066,GCA_014851425.1, Chromosome,526.357,35.4485,chromosome 1:CM026260.1; chromosome 2:CM026261.1; chromosome 3:CM026262.1; chromosome 4:CM026263.1; chromosome 5:CM026264.1; chromosome 6:CM026265.1; chromosome 7:CM026266.1; chromosome 8:CM026267.1; chromosome 9:CM026268.1; chromosome 10:CM026269.1; chromosome 11:CM026270.1; chromosome 12:CM026271.1; chromosome 13:CM026272.1,JAAIUW01,444,45268,2020-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/851/425/GCA_014851425.1_ASM1485142v1,
Anopheles bellator,Eukaryota;Animals;Insects,,SAMEA12928208,PRJEB53274,GCA_943735745.2, Chromosome,169.575,48.5,chromosome X:OX030929.1,CALSEL02,2985,0,2022-06-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/943/735/745/GCA_943735745.2_idAnoBellAS_SP24_06.2,
Cryptococcus gattii WM276,Eukaryota;Fungi;Basidiomycetes,WM276,SAMN03081419,PRJNA13692,GCA_000185945.1, Chromosome,18.3748,47.8782,chromosome A:NC_014938.1/CP000286.1; chromosome B:NC_014939.1/CP000287.1; chromosome C:NC_014940.1/CP000288.1; chromosome D:NC_014941.1/CP000289.1; chromosome E:NC_014942.1/CP000290.1; chromosome F:NC_014943.1/CP000291.1; chromosome G:NC_014944.1/CP000292.1; chromosome H:NC_014945.1/CP000293.1; chromosome J:NC_014947.1/CP000295.1; chromosome K:NC_014948.1/CP000296.1; chromosome L:NC_014949.1/CP000297.1; chromosome M:NC_014950.1/CP000298.1; chromosome N:NC_014951.1/CP000299.1; chromosome I:NC_014946.1/CP000294.1,,14,6565,2011-01-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/945/GCA_000185945.1_ASM18594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/945/GCF_000185945.1_ASM18594v1
Cryptococcus gattii VGII R265,Eukaryota;Fungi;Basidiomycetes,R265,SAMN02953610,PRJNA395628,GCA_002954075.1, Chromosome,17.5813,47.7936,chromosome 1:CP025759.1; chromosome 2:CP025760.1; chromosome 3:CP025761.1; chromosome 4:CP025762.1; chromosome 5:CP025763.1; chromosome 6:CP025764.1; chromosome 7:CP025765.1; chromosome 8:CP025766.1; chromosome 9:CP025767.1; chromosome 10:CP025768.1; chromosome 11:CP025769.1; chromosome 12:CP025770.1; chromosome 13:CP025771.1; chromosome 14:CP025772.1; mitochondrion MT:CP025773.1,,15,6424,2018-02-27T00:00:00Z,,
Beaufortia kweichowensis,Eukaryota;Animals;Fishes,YLD-2018001,SAMN15699278,PRJNA650219,GCA_019155185.1, Chromosome,448.566,37.7854,chromosome 1:CM032794.1; chromosome 2:CM032795.1; chromosome 3:CM032796.1; chromosome 4:CM032797.1; chromosome 5:CM032798.1; chromosome 6:CM032799.1; chromosome 7:CM032800.1; chromosome 8:CM032801.1; chromosome 9:CM032802.1; chromosome 10:CM032803.1; chromosome 11:CM032804.1; chromosome 12:CM032805.1; chromosome 13:CM032806.1; chromosome 14:CM032807.1; chromosome 15:CM032808.1; chromosome 16:CM032809.1; chromosome 17:CM032810.1; chromosome 18:CM032811.1; chromosome 19:CM032812.1; chromosome 20:CM032813.1; chromosome 21:CM032814.1; chromosome 22:CM032815.1; chromosome 23:CM032816.1; chromosome 24:CM032817.1; chromosome 25:CM032818.1,JAGGEC01,247,0,2021-07-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/155/185/GCA_019155185.1_ASM1915518v1,
Plasmodium malariae,Eukaryota;Protists;Apicomplexans,,SAMEA3923181,PRJEB14392,GCA_900090045.1, Chromosome,33.618,24.3838,chromosome 1:NC_041775.1/LT594622.1; chromosome 2:NC_041776.1/LT594623.1; chromosome 3:NC_041777.1/LT594624.1; chromosome 4:NC_041778.1/LT594625.1; chromosome 5:NC_041779.1/LT594626.1; chromosome 6:NC_041780.1/LT594627.1; chromosome 7:NC_041781.1/LT594628.1; chromosome 8:NC_041782.1/LT594629.1; chromosome 9:NC_041783.1/LT594630.1; chromosome 10:NC_041784.1/LT594631.1; chromosome 11:NC_041785.1/LT594632.1; chromosome 12:NC_041786.1/LT594633.1; chromosome 13:NC_041787.1/LT594634.1; chromosome 14:NC_041788.1/LT594635.1; mitochondrion MIT:LT594637.1; apicoplast Pltd:NC_031401.1/; apicoplast API:LT594636.1,FLRL01,62,5960,2016-09-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/090/045/GCA_900090045.1_PmUG01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/045/GCF_900090045.1_PmUG01
Fusarium poae,Eukaryota;Fungi;Ascomycetes,DAOMC 252244,SAMN13054494,PRJNA774197,GCA_019609905.1, Chromosome,44.0005,46.5955,chromosome 1:NC_058399.1/CM033785.1; chromosome 2:NC_058400.1/CM033786.1; chromosome 3:NC_058401.1/CM033787.1; chromosome 4:NC_058402.1/CM033788.1; mitochondrion MT:NW_025408658.1/CM033789.1,WOUF01,13,13851,2021-08-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/609/905/GCA_019609905.1_ASM1960990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/609/905/GCF_019609905.1_ASM1960990v1
Isoperla grammatica,Eukaryota;Animals;Insects,,SAMEA7521000,PRJEB54948,GCA_945910005.1, Chromosome,874.6,39.9917,chromosome 1:OX246737.1; chromosome X1:OX246745.1; chromosome 2:OX246738.1; chromosome X2:OX246746.1; chromosome 3:OX246739.1; chromosome 4:OX246740.1; chromosome 5:OX246741.1; chromosome 6:OX246742.1; chromosome 7:OX246743.1; chromosome 8:OX246744.1; chromosome 9:OX246747.1; chromosome 10:OX246748.1; chromosome 11:OX246749.1; chromosome 12:OX246750.1; mitochondrion MT:OX246751.1,CAMDTW01,683,0,2022-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/945/910/005/GCA_945910005.1_ipIsoGram3.1,
Puntigrus tetrazona,Eukaryota;Animals;Fishes,hp1,SAMN17036344,PRJNA753523,GCA_018831695.1, Chromosome,730.818,38.2502,chromosome 1:NC_056699.1/CM032068.1; chromosome 2:NC_056700.1/CM032069.1; chromosome 3:NC_056701.1/CM032070.1; chromosome 4:NC_056702.1/CM032071.1; chromosome 5:NC_056703.1/CM032072.1; chromosome 6:NC_056704.1/CM032073.1; chromosome 7:NC_056705.1/CM032074.1; chromosome 8:NC_056706.1/CM032075.1; chromosome 9:NC_056707.1/CM032076.1; chromosome 10:NC_056708.1/CM032077.1; chromosome 11:NC_056709.1/CM032078.1; chromosome 12:NC_056710.1/CM032079.1; chromosome 13:NC_056711.1/CM032080.1; chromosome 14:NC_056712.1/CM032081.1; chromosome 15:NC_056713.1/CM032082.1; chromosome 16:NC_056714.1/CM032083.1; chromosome 17:NC_056715.1/CM032084.1; chromosome 18:NC_056716.1/CM032085.1; chromosome 19:NC_056717.1/CM032086.1; chromosome 20:NC_056718.1/CM032087.1; chromosome 21:NC_056719.1/CM032088.1; chromosome 22:NC_056720.1/CM032089.1; chromosome 23:NC_056721.1/CM032090.1; chromosome 24:NC_056722.1/CM032091.1; chromosome 25:NC_056723.1/CM032092.1; mitochondrion MT:NC_010110.1/,JAEQBD01,1122,48681,2021-06-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/831/695/GCA_018831695.1_ASM1883169v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/831/695/GCF_018831695.1_ASM1883169v1
Pao palembangensis,Eukaryota;Animals;Fishes,TQD1807000160,SAMN15098013,PRJNA597275,GCA_015343265.1, Chromosome,356.042,44.4501,chromosome 1:CM027081.1; chromosome 2:CM027082.1; chromosome 3:CM027083.1; chromosome 4:CM027084.1; chromosome 5:CM027085.1; chromosome 6:CM027086.1; chromosome 7:CM027087.1; chromosome 8:CM027088.1; chromosome 9:CM027089.1; chromosome 10:CM027090.1; chromosome 11:CM027091.1; chromosome 12:CM027092.1; chromosome 13:CM027093.1; chromosome 14:CM027094.1; chromosome 15:CM027095.1; chromosome 16:CM027096.1; chromosome 17:CM027097.1; chromosome 18:CM027098.1,JABWDL01,5053,0,2020-11-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/343/265/GCA_015343265.1_ASM1534326v1,
Andrena camellia,Eukaryota;Animals;Insects,CQXS,SAMN28535381,PRJNA839515,GCA_029448645.1, Chromosome,340.73,42.2769,chromosome 1:CM055676.1; chromosome 2:CM055677.1; chromosome 3:CM055678.1; chromosome 4:CM055679.1; chromosome 5:CM055680.1; chromosome 6:CM055681.1; chromosome 7:CM055682.1,JAMJVY01,50,0,2023-03-28T00:00:00Z,,
